PARID,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESS,PROPERTYCITY,PROPERTYSTATE,PROPERTYUNIT,PROPERTYZIP,LOTAREA,YEARBLT,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDU,CDUDESC,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,Computed lot size,Zillow lot size,Observed stories,Observed quality/condition,Interior condition (Zillow),Zillow year built,Zillow bedroom count,Zillow full baths count,Zillow half baths count,Zillow building square footage
0084M00070022200,100,,DENNISTON ST,PITTSBURGH,PA,UNIT 222,15206,0,1985,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,1,1,0,853,,,Not on streetview,Not on streetview,,1985,1,1,0,853
0300H00051000000,19,,MARION AVE,PITTSBURGH,PA,,15221,3300,1930,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,4,2,0,2016,3323.655,,2,Typical,,1930,4,2,0,2016
0768P00216000000,107,,SPRINGHOUSE DR,CLAIRTON,PA,,15025,33501,1986,B,GOOD,3,AVERAGE,AV,AVERAGE,3,2,2,2560,33545.52,33541.2,1,Fancy,Pretty good,1986,3,2,0,2560
1132N00262000000,307,,ROTHEY DR,ELIZABETH,PA,,15037,8400,1961,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,1125,8291.509,8400,1,Typical (streetview is from 2007 though),,1961,3,1,0,1125
0069R00301000000,10,,N GRANDVIEW AVE,PITTSBURGH,PA,,15205,4400,1909,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,1,0,2010,4391.237,4399.56,2,Pretty good,Pretty good,1909,3,1,0,2010
0926G00101000000,305,,MACNAB DR,CORAOPOLIS,PA,,15108,10500,1977,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,4,2,1,1792,10566.25,10500,2,Typical,Old but decent,1977,4,2,1,1792
1010G00056000000,6621,,OVERLOOK ST,SOUTH PARK,PA,,15129,5000,1958,C,AVERAGE,3,AVERAGE,AV,AVERAGE,2,1,0,718,5207.32,5000,1+garage,Typical,,1958,2,1,0,718
1001A00128000000,852,,SCHOOL ST,CLAIRTON,PA,,15025,3520,,,,,,,,,,,,3604.778,3520,2+attic,Typical,,1945,3,1,0,1350
1679K00145000000,2409,,LINCOLN ST,NATRONA HEIGHTS,PA,,15065,5000,1935,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,870,4320.885,5000,1,Typical,,1935,3,1,0,870
0033B00081000000,113,,REDLYN ST,PITTSBURGH,PA,,15210,2000,1902,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,960,1858.108,2000,2,Typical,,1902,2,1,0,960
0474D00351000000,913,,HOLLY LYNNE DR,PITTSBURGH,PA,,15236,7209,1953,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,1,1549,8718.105,7209,1+garage,Pretty good,,1953,3,1,1,1549
0282B00342G21500,215,,QUEENSBERRY CT,PITTSBURGH,PA,,15237,0,1976,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,2,1,1,1188,,,2+garage,Pretty good,Pretty good,2018,2,1,1,1188
2372M00021000000,141,,SENECA PL,MARS,PA,,16046,8509,2018,A,VERY GOOD,2,GOOD,GD,GOOD,5,3,1,3502,8395.553,8507.27,Not on streetview,Not on streetview,Fancy,2018,5,3,1,3502
0523J00006000000,4005,,PARK PL,GLENSHAW,PA,,15116,25290,2007,A,VERY GOOD,3,AVERAGE,AV,AVERAGE,4,4,2,3524,25369.68,25264.8,2+attic,Hard to see but looks fancy,Fancy,2007,4,4,1,3524
0131J00311000000,963,,FOREST AVE,HOMESTEAD,PA,,15120,8800,1922,C+,AVERAGE +,4,FAIR,FR,FAIR,2,2,0,2808,8768.608,8800,2+attic,Typical,,1922,4,2,0,2808
0635D00366000000,2607,,REITER RD,PITTSBURGH,PA,,15235,9164,1960,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,2,0,1516,11895.57,9164,"looks like 2, split entry",Typical,Old but decent,1960,3,2,1,1516
0242L00045000000,244,,BETTIS RD,DRAVOSBURG,PA,,15034,9000,1940,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,788,8949.999,9000,2+garage,Typical,,1940,2,1,0,788
0068C00077000000,2000,,CRAFTON BLVD,PITTSBURGH,PA,,15205,6000,1900,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,3,1,1,2152,5994.616,6000,2+attic,Typical,,1900,3,1,1,2152
2186K00064000000,2010,,CHERRY RD,GIBSONIA,PA,,15044,15409,2021,A+,VERY GOOD +,2,GOOD,GD,GOOD,5,4,1,4841,15369.8,15246,2,Pretty good,Fancy,2021,5,4,1,4841
0050P00033000000,212,,GROSS ST,PITTSBURGH,PA,,15224,3123,1920,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,0,2310,3341.356,3123,2+attic,Typical,,1920,3,1,0,2310
0045F00020000000,1211,,WOODLAND AVE,PITTSBURGH,PA,,15212,3000,1920,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,1090,3001.335,3000,2,Typical,,1920,2,1,0,1090
0062E00291000000,2706,,ESPY AVE,PITTSBURGH,PA,,15216,2457,1925,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,2,1,0,1280,2417.946,2457,2,Typical,Old but decent,1925,2,1,0,1280
0132S00173000000,129,,E VIRGINIA AVE,HOMESTEAD,PA,,15120,3750,1923,C-,AVERAGE -,7,VERY GOOD,VG,VERY GOOD,3,2,0,1554,3802.917,4430,2+attic,Typical,Pretty good,1923,3,2,0,1554
0830E00294000000,2549,,ROYAL VIEW DR,ALLISON PARK,PA,,15101,21773,1960,C,AVERAGE,3,AVERAGE,AV,AVERAGE,2,1,0,1066,21294.91,21780,1+garage,Typical,,1960,2,1,0,1066
0001C01662191500,320,,FORT DUQUESNE BLVD,PITTSBURGH,PA,UNIT 19O,15222,0,1964,B,GOOD,3,AVERAGE,AV,AVERAGE,1,1,0,647,,,1,Pretty good,Pretty good,1964,1,1,0,647
0235A00091000000,7714,,CANNON ST,PITTSBURGH,PA,,15218,2450,1910,C-,AVERAGE -,3,AVERAGE,AV,AVERAGE,4,1,0,1536,2343.155,2448.07,2,Typical,Old but solid,1910,4,2,0,
0085H00166000000,1200,,BEECHWOOD BLVD,PITTSBURGH,PA,,15206,7084,1946,A+,VERY GOOD +,7,VERY GOOD,VG,VERY GOOD,5,4,1,3963,13255.64,6481,2,Fancy,Pretty good,1947,5,4,1,3963
0941D00128000000,1505,,ABBY ROSE CT,PITTSBURGH,PA,,15237,20105,2009,A+,VERY GOOD +,2,GOOD,GD,GOOD,4,3,1,4180,20186.18,20037.6,2,High quality new construction,,2009,4,3,1,4180
0316M00192000000,5340,,TOMFRAN DR,PITTSBURGH,PA,,15236,10316,1960,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,4,2,1,2732,10259.66,10316,2,Typical,,1960,4,2,1,2732
0884J00066000000,1013,,PINEY RIDGE DR,SOUTH PARK,PA,,15129,9207,1984,B-,GOOD -,3,AVERAGE,AV,AVERAGE,3,2,0,1876,14374.02,9208,1+attic,Looks new,Pretty good,1985,5,3,0,1876
0393S00126000000,5041,,ORCHARD AVE,BETHEL PARK,PA,,15102,11687,1950,C+,AVERAGE +,3,AVERAGE,AV,AVERAGE,2,1,1,1510,11718.47,11761.2,1+attic+garage,Typical,Pretty good,1960,3,1,1,1510
0738L00034000000,573,,ANDERSON AVE,PITTSBURGH,PA,,15239,5820,1957,C,AVERAGE,3,AVERAGE,AV,AVERAGE,3,1,1,1344,8395.952,5820,2,Typical,,1957,3,1,1,1344
0026C00008000000,3713,,MELWOOD AVE,PITTSBURGH,PA,,15213,5400,1900,C-,AVERAGE -,3,AVERAGE,FR,FAIR,2,1,0,1386,5553.155,5400,2+attic,Typical,Old but solid,1901,3,2,0,1386
